sid,lid
743,1601
743,1603
743,1606
744,1601
744,1604
744,1607
745,1601
745,1604
745,1606
746,1601
746,1603
746,1607
747,1601
747,1603
747,1606
748,1601
748,1604
748,1607
749,1601
749,1603
749,1606
750,1601
750,1604
750,1607
751,1601
751,1602
751,1605
752,1601
752,1603
752,1606
753,1601
753,1603
753,1607
754,1601
754,1603
754,1606
755,1601
755,1603
755,1607
756,1601
756,1603
756,1606
757,1601
757,1604
757,1607
758,1601
758,1602
758,1605
759,1601
759,1603
759,1606
760,1601
760,1603
760,1607
761,1601
761,1603
761,1606
762,1601
762,1604
762,1607
763,1601
763,1603
763,1606
764,1601
764,1604
764,1607
765,1601
765,1602
765,1605
766,1601
766,1604
766,1606
767,1601
767,1603
767,1607
768,1601
768,1604
768,1606
769,1601
769,1603
769,1607
770,1601
770,1604
770,1606
771,1601
771,1603
771,1607
772,1601
772,1604
772,1606
773,1601
773,1603
773,1607
774,1601
774,1604
774,1606
775,1601
775,1603
775,1607
776,1601
776,1603
776,1606
777,1601
777,1604
777,1607
778,1601
778,1603
778,1606
779,1601
779,1603
779,1607
780,1601
780,1604
780,1606
781,1601
781,1603
781,1607
782,1601
782,1603
782,1606
783,1601
783,1603
783,1607
784,1601
784,1602
784,1605
785,1601
785,1603
785,1606
786,1601
786,1604
786,1607
787,1601
787,1603
787,1606
788,1601
788,1604
788,1607
789,1601
789,1603
789,1606
790,1601
790,1604
790,1607
791,1601
791,1603
791,1606
792,1601
792,1604
792,1607
793,1601
793,1604
793,1606
794,1601
794,1604
794,1607
795,1601
795,1603
795,1606
796,1601
796,1604
796,1607
797,1601
797,1603
797,1606
798,1601
798,1604
798,1607
799,1601
799,1603
799,1606
800,1601
800,1603
800,1607
801,1601
801,1604
801,1606
802,1601
802,1604
802,1607
803,1601
803,1603
803,1606
804,1601
804,1604
804,1607
805,1601
805,1603
805,1606
806,1601
806,1604
806,1607
807,1601
807,1603
807,1606
808,1601
808,1603
808,1607
809,1601
809,1603
809,1606
810,1601
810,1602
810,1605
811,1601
811,1604
811,1607
812,1601
812,1603
812,1606
813,1601
813,1603
813,1607
814,1601
814,1602
814,1605
815,1601
815,1603
815,1606
816,1601
816,1603
816,1607
817,1601
817,1603
817,1606
818,1601
818,1603
818,1607
819,1601
819,1603
819,1606
820,1601
820,1604
820,1607
821,1601
821,1603
821,1606
822,1601
822,1602
822,1605
823,1601
823,1603
823,1607
824,1601
824,1603
824,1606
825,1601
825,1603
825,1607
826,1601
826,1604
826,1606
827,1601
827,1604
827,1607
828,1601
828,1603
828,1606
829,1601
829,1603
829,1607
830,1601
830,1603
830,1606
831,1601
831,1604
831,1607
832,1601
832,1603
832,1606
833,1601
833,1603
833,1607
834,1601
834,1603
834,1606
835,1601
835,1603
835,1607
836,1601
836,1603
836,1606
837,1601
837,1603
837,1607
838,1601
838,1604
